chr	start	end	Level
chr22	10680000	10930000	2
chr22	10930000	11030000	2
chr22	11030000	11440000	2
chr22	11440000	11500000	2
chr22	11540000	11870000	2
chr22	11870000	12060000	2
chr22	12300000	12520000	2
chr22	12530000	12650000	2
chr22	15510000	15780000	2
chr22	15900000	15960000	2
chr22	15970000	16310000	2
chr22	16400000	16880000	2
chr22	16880000	17070000	2
chr22	17070000	17520000	2
chr22	17520000	17650000	2
chr22	17650000	17750000	2
chr22	17750000	18190000	2
chr22	18510000	18630000	2
chr22	18890000	18940000	2
chr22	18940000	19440000	2
chr22	19440000	19490000	2
chr22	19490000	19640000	2
chr22	19640000	19730000	2
chr22	19730000	19950000	2
chr22	19950000	20130000	2
chr22	20130000	20350000	2
chr22	20350000	20720000	2
chr22	20350000	21160000	2
chr22	20720000	21160000	2
chr22	21160000	21270000	2
chr22	21470000	21550000	2
chr22	21550000	21950000	2
chr22	21950000	22290000	2
chr22	22290000	22960000	2
chr22	22960000	23150000	2
chr22	23150000	23310000	2
chr22	23310000	23450000	2
chr22	23450000	23520000	2
chr22	23520000	23980000	2
chr22	23980000	24270000	2
chr22	24270000	24630000	2
chr22	24630000	24880000	2
chr22	24880000	25060000	2
chr22	25060000	25420000	2
chr22	25420000	25930000	2
chr22	25930000	26080000	2
chr22	26080000	26170000	2
chr22	26170000	26360000	2
chr22	26360000	26670000	2
chr22	26670000	28010000	2
chr22	28010000	28600000	2
chr22	28600000	29270000	2
chr22	29270000	29570000	2
chr22	29570000	30110000	2
chr22	30110000	30430000	2
chr22	30430000	31090000	2
chr22	31090000	31170000	2
chr22	31170000	31440000	2
chr22	31440000	31640000	2
chr22	31640000	31970000	2
chr22	31970000	32100000	2
chr22	32100000	32150000	2
chr22	32150000	32210000	2
chr22	32210000	32480000	2
chr22	32480000	32540000	2
chr22	32540000	32810000	2
chr22	32810000	33020000	2
chr22	33020000	33240000	2
chr22	33240000	33920000	2
chr22	33920000	34410000	2
chr22	34410000	35180000	2
chr22	35180000	35250000	2
chr22	35250000	35410000	2
chr22	35410000	36140000	2
chr22	36140000	36290000	2
chr22	36290000	36530000	2
chr22	36530000	37000000	2
chr22	37000000	37470000	2
chr22	37470000	37910000	2
chr22	37910000	37960000	2
chr22	37960000	38390000	2
chr22	38390000	38700000	2
chr22	38700000	39530000	2
chr22	39530000	40040000	2
chr22	40040000	40370000	2
chr22	40370000	40840000	2
chr22	40840000	40910000	2
chr22	40910000	41570000	2
chr22	41570000	41950000	2
chr22	41950000	42100000	2
chr22	42100000	42150000	2
chr22	42150000	42560000	2
chr22	42560000	42780000	2
chr22	42780000	42840000	2
chr22	42840000	43220000	2
chr22	43220000	43890000	2
chr22	43890000	44680000	2
chr22	44680000	45110000	2
chr22	45110000	45210000	2
chr22	45210000	45570000	2
chr22	45570000	45660000	2
chr22	45660000	45980000	2
chr22	45980000	46330000	2
chr22	46330000	46740000	2
chr22	46740000	47200000	2
chr22	47200000	47590000	2
chr22	47610000	48490000	2
chr22	48500000	49320000	2
chr22	49320000	49370000	2
chr22	49370000	49750000	2
chr22	49750000	50190000	2
chr22	50190000	50760000	2
